Tweets,Topic
Branson's Virgin Atlantic considers stock market listing https://t.co/FVWBbPdZCZ,10
Student nurse left 'crying for water' in Covid hotel in Majorca https://t.co/Pep5BPuOkR,9
"Covid-19: Quarantine-free travel from France, and NHS waits could hit 14m https://t.co/BxvoFXJPJi",6
South Western Railway trains cut over Covid absences and derailment https://t.co/RjKE86JK8H,10
Covid-19: Quarantine-free travel to France resumes as UK rules change https://t.co/Mcp3DnFbkq,6
Covid in Scotland: More groups eligible for winter flu jabs https://t.co/rGwS0F16J6,10
NHS waiting lists could rise to 14 million in England next year - analysis https://t.co/AxPnr7DgJ8,10
Covid in Scotland: Physical distancing to remain in healthcare settings https://t.co/Eqw5YHWxip,10
Pop-up vaccination centre opens at The Nightingale Club in Birmingham https://t.co/HC5PCPdPGz,2
National Memorial Arboretum event off after military band told to isolate https://t.co/2IFoof3z16,6
5 steps for preventing kidney stones: https://t.co/OeKY4EJHto #HarvardHealth https://t.co/1JPWHpg22S,5
Research shows that the best brain foods are the same ones that protect your heart and blood vessels. https://t.co/URPNUrOZbD #HarvardHealth https://t.co/vB0eu8OCXT,3
6 things you should know about #vitamin D: https://t.co/DKkn5RLgUd #HarvardHealth https://t.co/gpkXcprRuF,8
"Anyone with health issues will have a more difficult time in extreme heat, including older people and people with diabetes, heart disease, asthma, and other conditions. Be prepared by knowing how to identify and treat heat-related illness: https://t.co/WjxJHNYYLl #HarvardHealth https://t.co/qfa8tAl4Du",3
Your resting heart rate can reflect your current and future health: https://t.co/FQXxvTlVXP #HarvardHealth https://t.co/7SnVf2HiRC,3
Some newer radiation therapies deliver particles directly to the cancer cell itself. One of these new therapies is now generating promising data for men with the most aggressive #prostatecancer: https://t.co/V4mKNH8GnN #HarvardHealth https://t.co/dZqkDuOItc,5
"The weight of events of the past year-plus has left many people in need of a mood boost, but even in normal times, people often struggle to find happiness. #Positivepsychology helps people find ways to improve their mood and life outlook: https://t.co/DAe6g3aXit #HarvardHealth https://t.co/PLf8vrOnFW",3
Fish oil: friend or foe? https://t.co/jNfJnUgbt4 #HarvardHealth https://t.co/IgvQggDoku,3
"Avoiding #tick bites is the best way to prevent Lyme &amp; other tick-borne illnesses. Warming temps mean that ticks now thrive in a broader geographic area for a longer portion of the year, so it’s more important than ever to protect yourself: https://t.co/oVDoZpUj7W #HarvardHealth https://t.co/44ilr9FPdp",1
These simple tips to reduce #stress can also help lower your high blood pressure: https://t.co/c3eallrjuI #HarvardHealth #COVID19 https://t.co/uUjCLgFK0K,4
"Stanford scientists found a way to predict the likelihood of relapses in lymphoma after CAR-T cell therapy through a non-invasive blood test. https://t.co/jjaGZjq5Pf
#lymphoma #sciencetwitter",3
"Go behind the scenes of Stanford’s Soundwalk, a walking experience and art installation to commemorate the losses we’ve endured during the COVID-19 pandemic. https://t.co/PCcgqUxWMx #pandemic #grief https://t.co/fZA3CpHnYVhe turned on a dime hasn't really allowed a space for reflection psychologically emotionally to think about what has happened we needed as a community away both to honor and remember the immensity of the lost both the individuals who lost their lives of families and friends who've loved them also the loss of what life was like pre-pandemic we can't heal if we can't acknowledge and honor that grief",10
"52% of #physicians said they often or always put off self-care because of time pressure, while only 15% of workers in other fields said the same. https://t.co/FSKLPucpKN 
#selfcare #burnout",10
RT @SUInfodemic: 23 days left to register for Stanford INFODEMIC! INFODEMIC will focus on vaccine hesitancy and will engage experts in the…,9
"Like most sporty kids, Steve Isono, MD, dreamed of one day going to the Olympics: He achieved that goal — just not quite how he imagined it. https://t.co/PvVUaExQNw",2
"The threespine stickleback can evolve in the amount of time it takes to complete a PhD thesis, according to Stanford's David Kingsley, PhD, professor of developmental biology. https://t.co/FPiQe39daE 
#sciencetwitter #DidYouKnow",1
"RT @StanfordDeptMed: ""The reason why it's so easy to do innovative and creative research here is really because of the ethos of the program…",1
"Stanford scientists and their collaborators have found that a marijuana-like compound in the brain calms epileptic seizures but also increases memory loss.
https://t.co/7HIUYyb5oE 
#sciencetwitter #neuroscience",8
"""That gratitude toward this surgeon really just inspired me to want to have the same role in someone else's life,"" said Andrea Garofalo, Stanford MD-PhD student.
https://t.co/ErUK7xntU4
#medicine",7
"“…Overall an epidural is a very safe procedure...but now I add that in addition to a very small risk of getting a severe headache from the epidural needle, there is some concern that the headaches could be chronic.” – Jessica Ansari, MD. https://t.co/qYxgeYVwZJ",8
"Programs for treating malnutrition in children should consider how food formulations affect postnatal gut microbiome development.

Comment from @therealRYC, Jeffrey Gordon and colleagues, @WUSTLmed

https://t.co/IiMTFkfCXd",5
"The recent failure of a gene therapy for Huntington’s disease was devastating for patients, but researchers remain optimistic.

News Feature from Carrie Arnold @edbites 

https://t.co/iEkm2oDC0B",6
"In a phase 1 trial, bispecific CAR T cells targeting CD19 and CD22 exhibit clinical activity and low toxicity in patients with large B-cell #lymphoma and B-cell acute lymphoblastic #leukemia #NMEDClinical @jayspiegel25 @LoriMuffly @StanfordBMT_CT 
https://t.co/8nEUcJuE2Q",4
"AI algorithms used for diagnosis and prognosis must be explainable and must not rely on a black box.

Worldview from @ShinjiniKundu, @HopkinsMedicine 

https://t.co/yUjhsIDtzS https://t.co/3XEpRpJtZz",1
A randomised crossover #clinicaltrial testing rapid-acting insulin aspart delivered in a closed-loop system vs. standard care demonstrates increased time in range in patients with type 2 #diabetes who require dialysis. #NMEDClinical @ckboughton @MRL_Cam https://t.co/ugfOjcaUc0,4
"⭐ New Research Highlight: A review published in @JAMAPediatrics sheds light on the experiences of #transgender and #nonbinary young people in healthcare.  

https://t.co/daDdeTg0hn",4
"RT @NatureConf: New conference alert!⚠️
If you are interested in know the latest on gene therapy, cell therapy and tissue engineering you w…",5
"In a phase 4 trial, CoronaVac, an inactivated #SARSCoV2 vaccine, elicited significantly reduced IgG and neutralizing antibodies in patients with autoimmune rheumatic diseases versus age- and sex-matched healthy controls #NMEDClinical #rheumatology #COVID19 https://t.co/KqusNsDlJ2",8
"How to implement translational medicine in the clinic - a pilot from Academia Europaea @acad_euro, @pte1367 and @semmelweishu.

Correspondence from Péter Hegyi and colleagues. 

https://t.co/XINVbZcrI8",3
"Remove obstacles to sharing health data with researchers outside of the European Union.

Comment from @RosaCastroB @HeidiBBentzen and colleagues @FedEuroAcadMed 

https://t.co/FG4iuBFGVT",3
"If you get them too, you're NOT alone. https://t.co/5KaG5uZO8h",1
Don't get sidelined by sickness. https://t.co/V9s8neCo7t,1
Women can get a version of blue balls called blue vulva. https://t.co/YxTNsHiaFA,1
The answer may surprise you. https://t.co/CBv3t1yvOW,1
"Bug bites, dry skin, and sunburn are no match for these soothing formulas. https://t.co/gYqZeokHZ8",1
"Without treatment, HIV can lead to AIDS. https://t.co/lP4P72Y0ia",9
This full-body resistance band #workout from @charleeatkins only takes 15 minutes: https://t.co/6TP4FqbDoV https://t.co/pY5iaZw8U5,8
Have you tried CBD yet? https://t.co/9q9ox669fP,1
Fitness experts explain how to *safely* try this fitness trend. https://t.co/patlkxX6mq,9
I'm a 22-year-old with fibromyalgia—and some days I wish I could detach myself from my body: https://t.co/09D5VinTOv https://t.co/w3npMIEXS2,9
"Learn about strategies to develop an evidence-based response to the public health needs of refugees and migrants in this free online course on #OpenWHO.

👉 https://t.co/8G7vTQnPqC https://t.co/qp72711teG",7
"Fraudulent “#COVID19 Compensation Lottery Prize” scam, falsely alleges association with WHO &amp; others. WHO strongly recommends that recipients of correspondences from scammers (acting under the name Capital Finance, Inc. London) exercise extreme caution.
https://t.co/hcoeE96BDU",9
"It's #WorldBreastfeedingWeek!
Employers are encouraged to work with governments to support #breastfeeding employees to 🤱🏾: offer at least 18 weeks of paid maternity leave, preferably six months; plus paid paternity leave. https://t.co/IoD48UXAaJ",2
"WHO &amp; @EU_commission sent urgent life-saving supplies to #India 🇮🇳, following a rapid resurgence of #COVID19 in the country.

More in details 👉https://t.co/LXb0xnuP7i #WHOImpact https://t.co/u6MMiLTDqU",5
"WHO &amp; @GermanyDiplo donated a large stock of medical equipment to #Belize 🇧🇿, contributing to its national #COVID19 vaccine deployment plan &amp; health system.

Read more 👉https://t.co/LXb0xnuP7i #WHOImpact https://t.co/I51EFASbj2",5
"In #Somalia 🇸🇴, WHO works with local authorities, @UNICEF &amp; partners to run mass vaccination campaigns to fight preventable diseases.

Read more 👉https://t.co/LXb0xnuP7i #WHOImpact https://t.co/HhB2QJ1V9n",5
"While #COVID19 cases are slowing down in some part of the world, WHO steps up the fight to help countries still facing surges in infections and new challenges.

Read more 👉https://t.co/LXb0xnuP7i #WHOImpact https://t.co/aluig4piUX",5
"Free samples and subtle advertising in hospitals and doctor’s clinics undermine #breastfeeding

#WorldBreastfeedingWeek https://t.co/Bv9zhH0118",2
"Formula companies build relationships and trust with mothers to change their decisions on how to feed their babies

#WorldBreastfeedingWeek https://t.co/PQPWdZG3jc",2
"#Uzbekistan 🇺🇿‘s state health insurance fund covers #PrimaryHealthCare services so people can access vital health care, without falling into poverty.

👉https://t.co/PYSjgi3F5i #WHOImpact #UHCPartnership https://t.co/5OGgrWYkvH",5
"Postdoctoral fellow Madi Y. Cissé has been awarded the @DamonRunyon  Fellowship Award. His research aims to understand how tumor metabolism senses and responds to varying nutrient levels, which will be essential for developing novel therapeutic targets. https://t.co/Yq20dr8AST https://t.co/KKNk9uWbCH",4
"“Businesses are leading the way"" when it comes to vaccine mandates, Harvard Chan School's @j_g_allen tells @GBHNews. https://t.co/6SB60Go8iD",9
"“What we found was that more than lead in paint, more than lead in water, more than anything else we’ve studied, firearms in a community was the highest risk factor for lead exposure in children."" - Harvard Chan's Christian Hoover (via @bostonherald). https://t.co/DVDHyv22Ak",9
"In 2018, the blog examined a study aimed at improving exclusive breastfeeding practices in informal settlements in Mumbai. https://t.co/knSUJM7MUh #WBW2021",4
"@MHTF In March 2020, @MHTF Associate Director Bethany Koltar wrote that maternity leave policies can create barriers to breastfeeding: ""We need to shift our focus . . . towards advocating for national labor policies that enable families to choose to breastfeed."" https://t.co/xXgCL3TC1f",4
"This World Breastfeeding Week, follow @MHTF and visit their blog to learn more about research and policies that support the health and well-being of breastfeeding parents and their children. 

https://t.co/Y0fSN1YU4g 

 #WBW2021",4
"“It’s all balancing risk and reward.” - Professor of Economics and Decision Sciences James K. ""Jim"" Hammitt on sailing 635 miles between Newport, Rhode Island and St. George’s, Bermuda. https://t.co/NN56rQvIDc",8
"Are vaccine mandates legal? States have a century of legal precedent, says @DrHowardKoh tells @ABC, but a federal mandate has never been tested in court. https://t.co/2R6MomtUVj",9
"“I guarantee I’m the only public health student ever to fail an FBI lie detector polygraph in the morning and start graduate school a few hours later."" - @j_g_allen on his unusual path to public health in @ScienceMagazine. https://t.co/7U9j6xdLyW",7
"What do we know about the Delta variant and long COVID? Not enough, says Harvard Chan School epidemiologist @BillHanage. https://t.co/NB2V5kcnPn",10
